ds,total_bookings,cancellations,revenue,avg_adr,avg_lead_time,avg_stay,avg_special_req,missing_rate,fulfilled_bookings,occupancy_rate,cancellation_rate,revpar,day_of_week,month,year,is_weekend
2020-07-15,41,23,9644.99,72.29,73.29,6.73,0.8,0.0,18,0.15,0.561,10.84,2,7,2020,0
2020-07-16,32,16,12310.0,97.69,60.91,7.31,0.94,0.0,16,0.1333,0.5,13.02,3,7,2020,0
2020-07-17,30,25,2014.05,71.39,58.8,6.37,0.83,0.0,5,0.0417,0.8333,2.98,4,7,2020,0
2020-07-18,34,16,7546.150000000001,70.03,58.97,6.32,0.76,0.0,18,0.15,0.4706,10.5,5,7,2020,1
2020-07-19,37,19,9911.31,69.67,56.11,6.41,0.97,0.0,18,0.15,0.5135,10.45,6,7,2020,1
2020-07-20,31,18,6034.92,68.27,112.74,6.13,1.0,0.0,13,0.1083,0.5806,7.39,0,7,2020,0
2020-07-21,38,26,5108.11,69.8,65.37,6.03,0.92,0.0,12,0.1,0.6842,6.98,1,7,2020,0
2020-07-22,33,25,3529.7,65.22,79.36,7.79,0.42,0.0,8,0.0667,0.7576,4.35,2,7,2020,0
2020-07-23,28,17,2892.0,62.92,52.79,5.29,0.93,0.0,11,0.0917,0.6071,5.77,3,7,2020,0
2020-07-24,27,14,7282.58,72.09,52.56,6.37,1.41,0.0,13,0.1083,0.5185,7.81,4,7,2020,0
2020-07-25,35,23,5704.35,73.25,73.66,6.26,0.71,0.0,12,0.1,0.6571,7.32,5,7,2020,1
2020-07-26,33,23,3420.58,64.02,158.58,6.09,1.3,0.0,10,0.0833,0.697,5.33,6,7,2020,1
2020-07-27,23,18,2916.3999999999996,63.47,78.65,6.57,0.43,0.0,5,0.0417,0.7826,2.65,0,7,2020,0
2020-07-28,33,20,6827.65,68.14,89.85,6.61,0.36,0.0,13,0.1083,0.6061,7.38,1,7,2020,0
2020-07-29,39,22,6681.34,66.82,113.59,5.54,0.62,0.0,17,0.1417,0.5641,9.47,2,7,2020,0
2020-07-30,36,22,5293.39,74.17,70.25,6.25,1.11,0.0,14,0.1167,0.6111,8.66,3,7,2020,0
2020-07-31,31,21,3876.77,59.68,67.61,5.84,0.45,0.0,10,0.0833,0.6774,4.97,4,7,2020,0
2020-08-01,45,33,4913.88,78.57,91.78,6.42,0.73,0.0,12,0.1,0.7333,7.86,5,8,2020,1
2020-08-02,40,27,4839.32,74.41,101.82,5.05,0.75,0.0,13,0.1083,0.675,8.06,6,8,2020,1
2020-08-03,44,24,7756.7699999999995,67.27,73.68,6.25,0.77,0.0,20,0.1667,0.5455,11.21,0,8,2020,0
2020-08-04,31,22,4857.73,78.25,101.39,7.97,0.71,0.0,9,0.075,0.7097,5.87,1,8,2020,0
2020-08-05,26,17,4495.92,69.39,89.19,6.58,0.81,0.0,9,0.075,0.6538,5.2,2,8,2020,0
2020-08-06,29,19,5258.5599999999995,74.23,66.28,5.72,0.9,0.0,10,0.0833,0.6552,6.18,3,8,2020,0
2020-08-07,36,22,6991.08,72.77,76.22,7.08,1.25,0.0,14,0.1167,0.6111,8.49,4,8,2020,0
2020-08-08,33,19,5015.0,71.34,63.21,6.21,0.76,0.0,14,0.1167,0.5758,8.33,5,8,2020,1
2020-08-09,45,33,5418.2,68.89,58.89,6.11,0.76,0.0,12,0.1,0.7333,6.89,6,8,2020,1
2020-08-10,40,25,8274.12,67.17,72.28,7.38,0.72,0.0,15,0.125,0.625,8.4,0,8,2020,0
2020-08-11,39,26,8146.58,67.75,70.03,7.05,0.92,0.0,13,0.1083,0.6667,7.34,1,8,2020,0
2020-08-12,32,18,7668.92,93.67,74.0,5.62,0.56,0.0,14,0.1167,0.5625,10.93,2,8,2020,0
2020-08-13,38,21,7035.3099999999995,71.08,111.34,6.24,0.63,0.0,17,0.1417,0.5526,10.07,3,8,2020,0
2020-08-14,35,20,5929.0,73.54,99.8,5.06,1.46,0.0,15,0.125,0.5714,9.19,4,8,2020,0
2020-08-15,35,23,6370.28,69.88,48.94,5.69,0.97,0.0,12,0.1,0.6571,6.99,5,8,2020,1
2020-08-16,41,25,7095.26,75.01,73.83,6.15,0.71,0.0,16,0.1333,0.6098,10.0,6,8,2020,1
2020-08-17,45,29,4852.2300000000005,70.26,60.18,5.33,1.0,0.0,16,0.1333,0.6444,9.37,0,8,2020,0
2020-08-18,38,18,7595.49,60.92,62.71,6.55,1.0,0.0,20,0.1667,0.4737,10.16,1,8,2020,0
2020-08-19,33,19,7493.88,69.56,70.91,6.45,1.09,0.0,14,0.1167,0.5758,8.12,2,8,2020,0
2020-08-20,45,29,6918.14,85.6,73.6,6.31,0.76,0.0,16,0.1333,0.6444,11.41,3,8,2020,0
2020-08-21,46,27,6267.0,67.96,69.89,6.35,1.04,0.0,19,0.1583,0.587,10.76,4,8,2020,0
2020-08-22,31,16,6857.66,67.44,52.77,6.16,0.74,0.0,15,0.125,0.5161,8.43,5,8,2020,1
2020-08-23,49,23,11997.89,71.07,99.47,7.16,0.86,0.0,26,0.2167,0.4694,15.4,6,8,2020,1
2020-08-24,51,35,7110.91,63.82,66.71,6.57,0.8,0.0,16,0.1333,0.6863,8.51,0,8,2020,0
2020-08-25,32,19,5708.35,63.55,104.59,7.28,0.84,0.0,13,0.1083,0.5938,6.88,1,8,2020,0
2020-08-26,37,25,5713.599999999999,68.97,78.3,6.51,0.57,0.0,12,0.1,0.6757,6.9,2,8,2020,0
2020-08-27,33,18,9242.94,77.75,84.36,6.52,0.64,0.0,15,0.125,0.5455,9.72,3,8,2020,0
2020-08-28,41,25,6772.8,65.78,69.78,6.61,0.9,0.0,16,0.1333,0.6098,8.77,4,8,2020,0
2020-08-29,44,22,9514.32,71.54,79.14,6.41,0.64,0.0,22,0.1833,0.5,13.11,5,8,2020,1
2020-08-30,34,24,3648.97,72.31,121.79,5.24,0.59,0.0,10,0.0833,0.7059,6.02,6,8,2020,1
2020-08-31,36,25,4178.17,73.57,107.67,6.47,0.69,0.0,11,0.0917,0.6944,6.75,0,8,2020,0
2020-09-01,44,27,7064.88,72.03,68.7,5.77,0.86,0.0,17,0.1417,0.6136,10.21,1,9,2020,0
2020-09-02,40,25,6287.53,71.71,68.0,5.05,0.98,0.0,15,0.125,0.625,8.96,2,9,2020,0
2020-09-03,53,33,15590.35,82.1,103.42,7.04,1.04,0.0,20,0.1667,0.6226,13.69,3,9,2020,0
2020-09-04,34,22,3590.61,68.94,152.06,5.41,1.12,0.0,12,0.1,0.6471,6.89,4,9,2020,0
2020-09-05,29,21,4956.97,68.84,58.28,6.93,1.0,0.0,8,0.0667,0.7241,4.59,5,9,2020,1
2020-09-06,43,22,10180.61,74.0,137.49,6.56,1.12,0.0,21,0.175,0.5116,12.95,6,9,2020,1
2020-09-07,44,25,13378.18,86.31,61.09,6.7,1.02,0.0,19,0.1583,0.5682,13.66,0,9,2020,0
2020-09-08,43,30,5778.71,96.27,82.51,6.74,0.67,0.0,13,0.1083,0.6977,10.43,1,9,2020,0
2020-09-09,41,22,10444.55,72.03,112.2,5.85,0.59,0.0,19,0.1583,0.5366,11.4,2,9,2020,0
2020-09-10,42,29,3685.8999999999996,62.6,66.52,6.24,0.93,0.0,13,0.1083,0.6905,6.78,3,9,2020,0
2020-09-11,40,30,5339.52,67.42,68.35,6.65,1.42,0.0,10,0.0833,0.75,5.62,4,9,2020,0
2020-09-12,44,25,14881.66,94.96,66.75,6.82,0.68,0.0,19,0.1583,0.5682,15.03,5,9,2020,1
2020-09-13,43,24,8061.53,64.87,72.44,6.3,0.79,0.0,19,0.1583,0.5581,10.27,6,9,2020,1
2020-09-14,49,32,8283.62,70.17,133.82,6.35,0.84,0.0,17,0.1417,0.6531,9.94,0,9,2020,0
2020-09-15,37,26,5323.63,72.88,77.0,6.11,0.84,0.0,11,0.0917,0.7027,6.68,1,9,2020,0
2020-09-16,34,16,6334.61,61.45,64.74,5.71,0.76,0.0,18,0.15,0.4706,9.22,2,9,2020,0
2020-09-17,36,25,6494.59,76.35,54.64,6.11,0.86,0.0,11,0.0917,0.6944,7.0,3,9,2020,0
2020-09-18,43,28,7374.95,70.78,72.6,6.95,1.07,0.0,15,0.125,0.6512,8.85,4,9,2020,0
2020-09-19,46,22,12290.74,75.33,52.02,6.8,0.76,0.0,24,0.2,0.4783,15.07,5,9,2020,1
2020-09-20,34,21,4543.64,64.48,96.44,5.97,1.03,0.0,13,0.1083,0.6176,6.98,6,9,2020,1
2020-09-21,40,20,11798.84,73.68,64.32,7.12,1.18,0.0,20,0.1667,0.5,12.28,0,9,2020,0
2020-09-22,38,26,5670.77,71.01,65.45,6.66,0.71,0.0,12,0.1,0.6842,7.1,1,9,2020,0
2020-09-23,59,26,16850.04,69.82,93.75,6.76,0.95,0.0,33,0.275,0.4407,19.2,2,9,2020,0
2020-09-24,42,22,10086.72,66.16,79.45,7.21,0.95,0.0,20,0.1667,0.5238,11.03,3,9,2020,0
2020-09-25,38,17,9921.19,72.16,68.16,6.92,0.92,0.0,21,0.175,0.4474,12.63,4,9,2020,0
2020-09-26,44,28,5916.6,72.13,54.89,6.48,0.93,0.0,16,0.1333,0.6364,9.61,5,9,2020,1
2020-09-27,40,24,5851.36,67.85,78.38,6.48,1.15,0.0,16,0.1333,0.6,9.04,6,9,2020,1
2020-09-28,38,24,5285.2300000000005,64.2,80.32,5.84,1.18,0.0,14,0.1167,0.6316,7.49,0,9,2020,0
2020-09-29,37,24,7655.3,72.98,86.65,6.3,1.0,0.0,13,0.1083,0.6486,7.9,1,9,2020,0
2020-09-30,44,24,8639.43,67.04,70.3,7.34,0.89,0.0,20,0.1667,0.5455,11.18,2,9,2020,0
2020-10-01,47,17,21162.29,135.05,97.68,6.04,1.04,0.0,30,0.25,0.3617,33.76,3,10,2020,0
2020-10-02,46,11,28753.25,127.8,69.48,6.57,1.17,0.0,35,0.2917,0.2391,37.28,4,10,2020,0
2020-10-03,40,13,23213.02,143.33,125.5,6.9,1.08,0.0,27,0.225,0.325,32.25,5,10,2020,1
2020-10-04,27,7,23621.56,211.85,127.44,6.96,0.89,0.0,20,0.1667,0.2593,35.32,6,10,2020,1
2020-10-05,38,7,28260.93,128.5,101.0,6.58,0.92,0.0,31,0.2583,0.1842,33.19,0,10,2020,0
2020-10-06,33,8,18974.52,132.88,43.61,6.18,1.0,0.0,25,0.2083,0.2424,27.68,1,10,2020,0
2020-10-07,37,10,24917.12,134.18,65.51,7.16,0.76,0.0,27,0.225,0.2703,30.19,2,10,2020,0
2020-10-08,36,13,19353.1,123.06,85.89,7.39,0.78,0.0,23,0.1917,0.3611,23.59,3,10,2020,0
2020-10-09,38,9,26878.46,140.16,72.32,6.37,1.05,0.0,29,0.2417,0.2368,33.88,4,10,2020,0
2020-10-10,27,8,16056.29,142.38,74.89,6.44,0.78,0.0,19,0.1583,0.2963,22.54,5,10,2020,1
2020-10-11,41,10,24838.28,134.3,55.24,6.44,0.93,0.0,31,0.2583,0.2439,34.69,6,10,2020,1
2020-10-12,45,10,33520.85,138.31,68.58,6.67,0.89,0.0,35,0.2917,0.2222,40.35,0,10,2020,0
2020-10-13,52,13,33651.82,137.15,80.5,5.94,0.92,0.0,39,0.325,0.25,44.57,1,10,2020,0
2020-10-14,36,10,18954.18,132.56,71.44,5.22,0.92,0.0,26,0.2167,0.2778,28.73,2,10,2020,0
2020-10-15,40,9,26892.64,136.49,120.15,6.15,0.95,0.0,31,0.2583,0.225,35.26,3,10,2020,0
2020-10-16,61,19,30051.37,132.6,71.75,5.39,1.05,0.0,42,0.35,0.3115,46.41,4,10,2020,0
2020-10-17,29,10,19116.05,143.12,79.83,6.93,0.97,0.0,19,0.1583,0.3448,22.66,5,10,2020,1
2020-10-18,53,19,26928.06,120.96,64.94,6.42,0.57,0.0,34,0.2833,0.3585,34.27,6,10,2020,1
2020-10-19,34,7,22331.82,139.19,84.79,5.97,0.41,0.0,27,0.225,0.2059,31.32,0,10,2020,0
2020-10-20,38,10,23141.55,143.06,84.18,6.39,0.61,0.0,28,0.2333,0.2632,33.38,1,10,2020,0
2020-10-21,30,4,27980.79,142.34,72.13,7.43,0.63,0.0,26,0.2167,0.1333,30.85,2,10,2020,0
2020-10-22,49,14,33122.06,133.58,89.43,6.88,0.73,0.0,35,0.2917,0.2857,38.97,3,10,2020,0
2020-10-23,47,15,30137.51,137.96,69.57,7.04,0.77,0.0,32,0.2667,0.3191,36.79,4,10,2020,0
2020-10-24,43,12,23720.81,140.61,80.12,6.09,0.88,0.0,31,0.2583,0.2791,36.32,5,10,2020,1
2020-10-25,37,6,28806.25,138.37,72.59,6.41,0.95,0.0,31,0.2583,0.1622,35.74,6,10,2020,1
2020-10-26,29,11,14956.29,135.36,88.24,6.48,0.66,0.0,18,0.15,0.3793,20.3,0,10,2020,0
2020-10-27,43,11,28761.14,157.7,103.6,6.77,0.91,0.0,32,0.2667,0.2558,42.06,1,10,2020,0
2020-10-28,50,10,34047.15,132.11,103.54,6.08,0.88,0.0,40,0.3333,0.2,44.03,2,10,2020,0
2020-10-29,49,18,27307.88,127.1,72.53,6.41,0.59,0.0,31,0.2583,0.3673,32.83,3,10,2020,0
2020-10-30,31,11,12386.29,134.2,90.39,5.03,0.81,0.0,20,0.1667,0.3548,22.37,4,10,2020,0
2020-10-31,33,9,24878.37,148.28,79.94,6.24,0.97,0.0,24,0.2,0.2727,29.66,5,10,2020,1
2020-11-01,32,8,18126.38,123.11,110.62,6.5,1.19,0.0,24,0.2,0.25,24.62,6,11,2020,1
2020-11-02,39,9,25622.5,124.07,66.97,6.74,0.87,0.0,30,0.25,0.2308,31.02,0,11,2020,0
2020-11-03,35,10,25616.66,150.2,57.49,6.74,1.11,0.0,25,0.2083,0.2857,31.29,1,11,2020,0
2020-11-04,37,12,21091.31,121.63,75.57,6.32,1.03,0.0,25,0.2083,0.3243,25.34,2,11,2020,0
2020-11-05,38,8,29154.18,134.21,88.84,6.76,0.63,0.0,30,0.25,0.2105,33.55,3,11,2020,0
2020-11-06,29,12,14215.94,134.71,96.62,6.52,0.93,0.0,17,0.1417,0.4138,19.09,4,11,2020,0
2020-11-07,36,13,18503.78,140.31,73.14,5.61,0.97,0.0,23,0.1917,0.3611,26.9,5,11,2020,1
2020-11-08,32,14,15146.49,137.25,62.22,6.41,0.72,0.0,18,0.15,0.4375,20.59,6,11,2020,1
2020-11-09,42,10,22709.920000000002,132.35,63.05,5.17,0.79,0.0,32,0.2667,0.2381,35.3,0,11,2020,0
2020-11-10,42,10,25390.75,133.16,91.95,6.12,0.71,0.0,32,0.2667,0.2381,35.51,1,11,2020,0
2020-11-11,40,7,29279.14,129.65,73.05,6.52,0.85,0.0,33,0.275,0.175,35.65,2,11,2020,0
2020-11-12,36,7,27958.57,135.12,54.53,6.72,0.67,0.0,29,0.2417,0.1944,32.66,3,11,2020,0
2020-11-13,35,6,23218.06,126.56,67.69,6.14,1.26,0.0,29,0.2417,0.1714,30.59,4,11,2020,0
2020-11-14,45,9,37812.42,169.57,58.91,6.53,0.93,0.0,36,0.3,0.2,50.87,5,11,2020,1
2020-11-15,38,14,23606.66,134.69,85.95,7.37,1.11,0.0,24,0.2,0.3684,26.94,6,11,2020,1
2020-11-16,39,10,33649.11,157.68,65.15,6.87,0.72,0.0,29,0.2417,0.2564,38.11,0,11,2020,0
2020-11-17,35,14,14068.11,123.01,99.49,5.94,0.77,0.0,21,0.175,0.4,21.53,1,11,2020,0
2020-11-18,44,15,25223.97,134.08,108.18,6.05,0.7,0.0,29,0.2417,0.3409,32.41,2,11,2020,0
2020-11-19,38,18,30925.479999999996,170.47,111.47,6.11,0.89,0.0,20,0.1667,0.4737,28.42,3,11,2020,0
2020-11-20,48,12,29045.46,127.05,68.42,6.65,0.94,0.0,36,0.3,0.25,38.11,4,11,2020,0
2020-11-21,38,9,26368.690000000002,130.26,76.11,7.0,0.55,0.0,29,0.2417,0.2368,31.48,5,11,2020,1
2020-11-22,45,11,33841.08,139.22,70.56,6.78,0.89,0.0,34,0.2833,0.2444,39.44,6,11,2020,1
2020-11-23,34,7,21971.02,120.88,72.15,6.65,1.09,0.0,27,0.225,0.2059,27.2,0,11,2020,0
2020-11-24,40,9,32304.73,129.25,76.6,7.38,0.52,0.0,31,0.2583,0.225,33.39,1,11,2020,0
2020-11-25,35,7,28166.44,162.83,68.34,5.8,0.51,0.0,28,0.2333,0.2,37.99,2,11,2020,0
2020-11-26,28,5,15545.5,117.39,39.68,6.11,0.75,0.0,23,0.1917,0.1786,22.5,3,11,2020,0
2020-11-27,35,6,25707.33,133.5,57.29,6.6,0.71,0.0,29,0.2417,0.1714,32.27,4,11,2020,0
2020-11-28,34,14,19459.77,138.01,98.0,6.47,0.94,0.0,20,0.1667,0.4118,23.01,5,11,2020,1
2020-11-29,41,12,27472.9,140.13,57.46,6.66,0.71,0.0,29,0.2417,0.2927,33.87,6,11,2020,1
2020-11-30,38,14,23600.71,142.42,75.61,6.21,0.68,0.0,24,0.2,0.3684,28.48,0,11,2020,0
2020-12-01,33,11,21323.75,129.06,72.06,7.61,0.79,0.0,22,0.1833,0.3333,23.66,1,12,2020,0
2020-12-02,34,10,23296.56,126.16,95.09,7.91,0.71,0.0,24,0.2,0.2941,25.23,2,12,2020,0
2020-12-03,26,6,16420.08,112.69,96.38,8.0,0.62,0.0,20,0.1667,0.2308,18.79,3,12,2020,0
2020-12-04,34,11,18386.99,128.18,71.32,6.85,0.71,0.0,23,0.1917,0.3235,24.57,4,12,2020,0
2020-12-05,29,9,18031.32,126.4,73.45,7.03,0.93,0.0,20,0.1667,0.3103,21.07,5,12,2020,1
2020-12-06,26,7,18135.16,131.35,72.35,6.77,0.81,0.0,19,0.1583,0.2692,20.79,6,12,2020,1
2020-12-07,40,11,21723.48,113.89,74.0,6.5,0.7,0.0,29,0.2417,0.275,27.53,0,12,2020,0
2020-12-08,30,4,24649.11,158.47,82.07,5.93,0.67,0.0,26,0.2167,0.1333,34.34,1,12,2020,0
2020-12-09,42,13,21578.31,129.02,74.67,6.07,0.71,0.0,29,0.2417,0.3095,31.18,2,12,2020,0
2020-12-10,30,4,21009.72,124.48,62.87,6.43,1.03,0.0,26,0.2167,0.1333,26.97,3,12,2020,0
2020-12-11,39,13,20485.09,121.77,78.46,6.79,0.72,0.0,26,0.2167,0.3333,26.39,4,12,2020,0
2020-12-12,33,11,25803.47,138.89,72.58,7.64,0.91,0.0,22,0.1833,0.3333,25.46,5,12,2020,1
2020-12-13,32,10,20985.95,140.72,68.06,6.5,0.78,0.0,22,0.1833,0.3125,25.79,6,12,2020,1
2020-12-14,37,6,25858.48,129.22,81.62,6.43,0.73,0.0,31,0.2583,0.1622,33.38,0,12,2020,0
2020-12-15,32,11,14437.789999999999,118.3,74.44,6.81,1.12,0.0,21,0.175,0.3438,20.7,1,12,2020,0
2020-12-16,26,9,16569.37,125.72,72.42,7.54,0.96,0.0,17,0.1417,0.3462,17.81,2,12,2020,0
2020-12-17,22,7,14918.48,140.12,67.27,6.18,1.0,0.0,15,0.125,0.3182,17.52,3,12,2020,0
2020-12-18,28,9,17059.239999999998,140.15,61.5,6.75,0.86,0.0,19,0.1583,0.3214,22.19,4,12,2020,0
2020-12-19,35,11,23377.44,135.65,89.46,5.51,1.0,0.0,24,0.2,0.3143,27.13,5,12,2020,1
2020-12-20,37,13,23315.88,135.76,98.32,7.14,1.03,0.0,24,0.2,0.3514,27.15,6,12,2020,1
2020-12-21,24,8,12095.4,125.8,81.67,6.17,1.04,0.0,16,0.1333,0.3333,16.77,0,12,2020,0
2020-12-22,28,9,13668.21,128.48,81.82,5.96,0.68,0.0,19,0.1583,0.3214,20.34,1,12,2020,0
2020-12-23,38,9,23566.89,134.5,115.97,5.95,0.92,0.0,29,0.2417,0.2368,32.51,2,12,2020,0
2020-12-24,42,14,24859.31,126.23,73.45,7.0,0.62,0.0,28,0.2333,0.3333,29.45,3,12,2020,0
2020-12-25,44,14,23848.46,124.66,69.41,6.89,0.86,0.0,30,0.25,0.3182,31.16,4,12,2020,0
2020-12-26,30,9,21539.11,124.7,82.97,6.9,1.1,0.0,21,0.175,0.3,21.82,5,12,2020,1
2020-12-27,25,7,19380.72,165.86,74.16,6.72,0.88,0.0,18,0.15,0.28,24.88,6,12,2020,1
2020-12-28,24,4,19059.9,121.47,121.12,6.92,0.54,0.0,20,0.1667,0.1667,20.25,0,12,2020,0
2020-12-29,34,13,14738.039999999999,113.51,106.59,6.53,0.94,0.0,21,0.175,0.3824,19.86,1,12,2020,0
2020-12-30,31,10,15773.97,118.37,76.03,6.29,0.87,0.0,21,0.175,0.3226,20.71,2,12,2020,0
2020-12-31,42,5,32645.18,136.58,65.81,6.26,1.07,0.0,37,0.3083,0.119,42.11,3,12,2020,0
2021-01-01,17,7,8839.28,136.8,76.24,5.71,1.0,0.0,10,0.0833,0.4118,11.4,4,1,2021,0
2021-01-02,10,2,6949.9,145.29,67.7,6.0,1.1,0.0,8,0.0667,0.2,9.69,5,1,2021,1
2021-01-03,13,4,10058.619999999999,153.37,78.69,5.77,0.54,0.0,9,0.075,0.3077,11.5,6,1,2021,1
2021-01-04,15,0,14325.94,119.32,76.4,7.67,1.13,0.0,15,0.125,0.0,14.92,0,1,2021,0
2021-01-05,20,4,10634.07,110.18,42.9,5.45,0.35,0.0,16,0.1333,0.2,14.69,1,1,2021,0
2021-01-06,11,4,7738.150000000001,129.77,46.55,7.82,0.73,0.0,7,0.0583,0.3636,7.57,2,1,2021,0
2021-01-07,13,4,6485.110000000001,133.22,66.15,5.15,1.23,0.0,9,0.075,0.3077,9.99,3,1,2021,0
2021-01-08,14,3,14389.75,142.92,35.0,8.07,0.71,0.0,11,0.0917,0.2143,13.11,4,1,2021,0
2021-01-09,16,2,10905.85,129.86,76.75,5.94,0.69,0.0,14,0.1167,0.125,15.15,5,1,2021,1
2021-01-10,17,7,9646.72,120.96,88.18,7.53,1.18,0.0,10,0.0833,0.4118,10.08,6,1,2021,1
2021-01-11,12,3,6319.01,115.44,40.92,6.58,0.83,0.0,9,0.075,0.25,8.66,0,1,2021,0
2021-01-12,18,5,7846.05,120.63,84.94,6.11,1.06,0.0,13,0.1083,0.2778,13.06,1,1,2021,0
2021-01-13,15,7,5955.12,124.93,90.13,5.73,0.87,0.0,8,0.0667,0.4667,8.33,2,1,2021,0
2021-01-14,14,6,7270.82,125.18,91.5,6.57,0.93,0.0,8,0.0667,0.4286,8.35,3,1,2021,0
2021-01-15,10,1,10149.14,156.32,63.0,7.3,0.7,0.0,9,0.075,0.1,11.72,4,1,2021,0
2021-01-16,15,3,8541.99,115.98,58.87,6.87,1.67,0.0,12,0.1,0.2,11.6,5,1,2021,1
2021-01-17,22,11,10095.98,118.43,60.0,7.77,0.45,0.0,11,0.0917,0.5,10.86,6,1,2021,1
2021-01-18,24,3,18134.87,111.01,71.21,7.04,0.71,0.0,21,0.175,0.125,19.43,0,1,2021,0
2021-01-19,13,3,7690.35,129.68,76.92,6.15,0.77,0.0,10,0.0833,0.2308,10.8,1,1,2021,0
2021-01-20,15,4,5977.02,106.74,144.33,6.2,1.33,0.0,11,0.0917,0.2667,9.79,2,1,2021,0
2021-01-21,13,3,13764.93,239.35,72.62,6.0,0.23,0.0,10,0.0833,0.2308,19.94,3,1,2021,0
2021-01-22,19,7,11598.13,116.36,153.53,8.0,1.11,0.0,12,0.1,0.3684,11.64,4,1,2021,0
2021-01-23,12,3,9330.33,154.63,42.92,6.58,0.58,0.0,9,0.075,0.25,11.6,5,1,2021,1
2021-01-24,17,6,11762.13,127.78,127.24,7.53,0.35,0.0,11,0.0917,0.3529,11.72,6,1,2021,1
2021-01-25,21,4,12813.42,127.0,109.76,6.19,0.52,0.0,17,0.1417,0.1905,18.0,0,1,2021,0
2021-01-26,22,5,15678.96,128.28,117.95,7.68,0.64,0.0,17,0.1417,0.2273,18.18,1,1,2021,0
2021-01-27,19,1,12429.55,117.05,102.11,5.89,1.0,0.0,18,0.15,0.0526,17.56,2,1,2021,0
2021-01-28,17,4,7810.71,108.83,104.71,5.59,0.65,0.0,13,0.1083,0.2353,11.79,3,1,2021,0
2021-01-29,14,6,6446.400000000001,119.98,98.36,6.71,0.57,0.0,8,0.0667,0.4286,8.0,4,1,2021,0
2021-01-30,18,4,11834.630000000001,138.74,79.89,5.44,1.67,0.0,14,0.1167,0.2222,16.19,5,1,2021,1
2021-01-31,17,2,11358.77,118.44,60.76,6.18,0.65,0.0,15,0.125,0.1176,14.8,6,1,2021,1
2021-02-01,9,2,5511.52,115.13,53.0,5.78,1.22,0.0,7,0.0583,0.2222,6.71,0,2,2021,0
2021-02-02,2,1,260.16,104.67,100.5,4.0,0.0,0.0,1,0.0083,0.5,0.87,1,2,2021,0
2021-02-03,9,2,3575.21,98.01,59.56,6.67,1.0,0.0,7,0.0583,0.2222,5.71,2,2,2021,0
2021-02-04,10,3,6440.71,119.6,44.1,7.7,1.2,0.0,7,0.0583,0.3,6.97,3,2,2021,0
2021-02-05,8,5,3883.55,110.15,108.5,8.12,0.62,0.0,3,0.025,0.625,2.75,4,2,2021,0
2021-02-06,10,1,6755.13,128.44,48.0,4.6,0.8,0.0,9,0.075,0.1,9.63,5,2,2021,1
2021-02-07,6,3,5725.360000000001,136.09,58.5,8.0,1.17,0.0,3,0.025,0.5,3.4,6,2,2021,1
2021-02-08,11,3,5687.28,142.01,78.73,5.27,0.45,0.0,8,0.0667,0.2727,9.47,0,2,2021,0
2021-02-09,11,2,6436.17,113.77,40.27,6.91,0.91,0.0,9,0.075,0.1818,8.53,1,2,2021,0
2021-02-10,9,3,4867.46,106.42,83.33,8.67,1.44,0.0,6,0.05,0.3333,5.32,2,2,2021,0
2021-02-11,9,1,6482.2,133.63,80.33,7.56,1.22,0.0,8,0.0667,0.1111,8.91,3,2,2021,0
2021-02-12,8,1,6955.65,109.93,276.12,7.88,0.38,0.0,7,0.0583,0.125,6.41,4,2,2021,0
2021-02-13,10,2,5811.04,127.21,77.6,6.4,0.8,0.0,8,0.0667,0.2,8.48,5,2,2021,1
2021-02-14,7,1,3569.37,127.04,65.14,4.43,1.14,0.0,6,0.05,0.1429,6.35,6,2,2021,1
2021-02-15,13,6,5767.86,111.92,46.54,7.31,0.54,0.0,7,0.0583,0.4615,6.52,0,2,2021,0
2021-02-16,11,3,5587.84,113.95,44.45,6.45,1.18,0.0,8,0.0667,0.2727,7.6,1,2,2021,0
2021-02-17,10,1,9859.529999999999,140.78,168.3,7.8,1.1,0.0,9,0.075,0.1,10.56,2,2,2021,0
2021-02-18,11,3,5138.68,124.66,237.64,5.73,0.73,0.0,8,0.0667,0.2727,8.31,3,2,2021,0
2021-02-19,5,1,1639.6799999999998,389.79,132.8,4.6,0.6,0.0,4,0.0333,0.2,12.98,4,2,2021,0
2021-02-20,8,2,4293.17,103.67,139.75,7.25,1.12,0.0,6,0.05,0.25,5.18,5,2,2021,1
2021-02-21,13,3,5725.860000000001,123.75,61.69,5.38,0.62,0.0,10,0.0833,0.2308,10.31,6,2,2021,1
2021-02-22,6,3,2308.55,113.58,57.0,5.5,0.33,0.0,3,0.025,0.5,2.84,0,2,2021,0
2021-02-23,6,3,2928.62,132.94,97.5,5.5,0.5,0.0,3,0.025,0.5,3.32,1,2,2021,0
2021-02-24,11,4,4792.75,124.51,159.82,5.73,0.0,0.0,7,0.0583,0.3636,7.26,2,2,2021,0
2021-02-25,11,3,6862.969999999999,124.18,230.0,5.18,0.91,0.0,8,0.0667,0.2727,8.28,3,2,2021,0
2021-02-26,9,3,4930.1,133.29,55.89,8.0,1.67,0.0,6,0.05,0.3333,6.66,4,2,2021,0
2021-02-27,16,2,9728.03,105.82,65.44,6.94,0.5,0.0,14,0.1167,0.125,12.35,5,2,2021,1
