ds,temperature_c,precipitation_mm,local_events,holiday_flag,competitor_adr,cpi_yoy,consumer_confidence,search_trend
2020-02-01,14.3,2.0,0,0,63.52,0.02,69.7,49.6
2020-02-02,12.8,2.6,0,0,62.17,0.22,73.0,53.3
2020-02-03,15.7,10.7,0,0,65.92,0.18,72.7,47.2
2020-02-04,12.3,17.9,0,0,73.74,0.4,65.5,47.6
2020-02-05,13.7,8.3,0,0,72.83,0.69,66.4,50.4
2020-02-06,13.3,10.0,0,0,56.89,-0.26,71.9,45.9
2020-02-07,12.0,6.5,1,0,50.0,0.77,69.4,47.6
2020-02-08,13.6,2.9,0,0,82.74,0.4,69.3,43.7
2020-02-09,16.1,2.9,1,0,60.82,0.55,65.6,50.6
2020-02-10,17.0,3.4,0,0,65.4,0.1,70.3,43.3
2020-02-11,16.8,0.9,0,0,50.0,0.06,66.1,48.6
2020-02-12,15.1,11.9,0,0,53.34,0.35,67.3,55.7
2020-02-13,16.7,9.9,0,0,50.0,0.19,66.6,51.1
2020-02-14,15.2,0.5,0,0,50.0,0.84,65.8,50.5
2020-02-15,16.9,4.8,0,0,50.0,0.26,73.6,57.2
2020-02-16,14.9,14.8,0,0,71.38,0.17,66.2,60.0
2020-02-17,14.5,10.4,0,0,65.09,0.55,67.8,46.8
2020-02-18,15.6,24.7,0,0,65.3,0.32,70.2,42.3
2020-02-19,17.5,9.8,0,0,64.67,0.14,66.7,49.4
2020-02-20,18.9,9.4,0,0,70.69,0.53,67.7,49.9
2020-02-21,17.6,2.0,0,0,63.01,0.55,68.0,54.8
2020-02-22,12.9,6.9,0,0,53.26,0.29,62.4,53.2
2020-02-23,17.1,5.7,1,0,50.38,0.05,68.2,59.7
2020-02-24,16.0,6.2,0,0,70.08,0.08,69.0,45.6
2020-02-25,16.1,2.4,0,0,62.55,0.83,69.0,37.3
2020-02-26,17.0,0.3,0,0,60.34,0.15,66.5,42.9
2020-02-27,16.9,0.5,0,0,91.2,0.72,66.8,61.1
2020-02-28,18.3,3.7,1,0,61.12,-0.02,69.3,58.6
2020-02-29,18.4,0.1,0,0,50.0,0.13,68.3,60.3
2020-03-01,17.0,1.4,0,0,60.43,0.53,68.3,60.6
2020-03-02,16.7,9.2,0,0,58.53,-0.07,68.2,50.8
2020-03-03,20.3,4.1,0,0,51.06,-0.17,67.1,54.3
2020-03-04,18.1,3.2,0,0,59.78,-0.0,68.2,52.9
2020-03-05,16.0,0.1,0,0,63.53,0.27,65.2,65.7
2020-03-06,19.1,19.0,0,0,57.09,0.2,71.8,53.0
2020-03-07,21.3,9.0,0,0,50.48,0.45,67.2,56.6
2020-03-08,20.1,10.0,0,0,67.73,-0.18,65.8,66.1
2020-03-09,21.4,3.9,0,0,78.02,0.23,68.8,60.6
2020-03-10,17.9,1.9,0,0,57.81,-0.14,67.7,58.1
2020-03-11,18.9,1.0,0,0,63.69,0.65,67.0,52.6
2020-03-12,22.6,6.3,0,0,68.03,0.25,68.9,61.1
2020-03-13,18.5,0.9,0,0,50.0,-0.11,69.7,56.7
2020-03-14,16.6,3.0,0,0,77.41,0.12,69.5,48.4
2020-03-15,21.6,10.3,0,0,52.31,0.02,66.9,58.5
2020-03-16,18.5,3.6,0,0,84.37,0.59,70.6,57.1
2020-03-17,22.5,0.9,0,0,50.0,0.52,70.5,60.8
2020-03-18,21.9,6.6,0,0,76.37,0.05,69.5,54.4
2020-03-19,18.1,14.0,0,0,71.04,-0.04,61.8,60.1
2020-03-20,17.5,1.5,0,0,50.0,0.18,66.0,55.5
2020-03-21,20.8,1.6,0,0,60.98,0.43,64.3,61.4
2020-03-22,18.9,10.2,0,0,50.0,0.31,67.3,66.0
2020-03-23,21.1,8.3,0,0,57.45,0.24,68.3,57.5
2020-03-24,22.6,5.6,0,0,126.54,0.04,68.9,53.5
2020-03-25,19.8,1.6,0,0,57.28,0.09,68.2,57.4
2020-03-26,22.1,1.9,0,0,75.39,0.41,67.6,65.9
2020-03-27,22.4,2.7,0,0,61.66,0.22,67.6,62.7
2020-03-28,20.0,3.5,0,0,86.36,0.15,67.7,58.4
2020-03-29,21.6,6.9,0,0,62.13,0.52,65.5,64.6
2020-03-30,20.9,6.5,0,0,57.93,-0.24,67.4,61.7
2020-03-31,22.0,6.2,0,0,60.36,0.39,67.7,56.8
2020-04-01,22.7,7.3,0,0,66.21,0.03,71.5,58.8
2020-04-02,21.3,13.0,0,0,50.65,-0.04,70.6,64.6
2020-04-03,22.9,2.4,0,0,58.41,0.41,72.8,58.6
2020-04-04,22.2,6.1,0,0,59.46,0.13,70.5,69.6
2020-04-05,23.2,0.6,0,0,80.42,0.15,69.3,70.9
2020-04-06,22.4,17.1,0,0,50.0,0.26,66.9,65.7
2020-04-07,21.9,0.2,1,0,63.57,0.12,72.3,59.1
2020-04-08,19.6,11.1,0,0,67.92,0.58,67.9,71.5
2020-04-09,20.6,9.2,0,0,52.72,-0.29,69.6,61.2
2020-04-10,19.7,1.1,0,1,145.86,0.15,70.5,76.5
2020-04-11,27.1,7.6,0,1,71.89,0.64,71.0,65.8
2020-04-12,23.7,0.5,0,0,59.63,0.71,69.1,73.7
2020-04-13,22.0,1.9,0,0,51.73,0.43,70.4,67.7
2020-04-14,22.3,3.9,0,0,71.3,-0.09,68.7,65.8
2020-04-15,24.5,3.7,0,0,70.86,0.7,70.8,77.5
2020-04-16,23.2,1.5,0,0,50.0,0.62,69.8,70.0
2020-04-17,23.5,3.0,0,0,59.12,0.18,70.3,69.5
2020-04-18,25.7,1.4,0,0,92.21,0.51,73.5,73.7
2020-04-19,23.2,0.7,1,0,65.3,0.59,70.5,68.4
2020-04-20,23.7,1.6,0,0,63.76,0.37,67.9,63.9
2020-04-21,23.8,7.6,0,0,54.18,0.22,68.7,73.2
2020-04-22,26.2,1.9,0,0,50.0,0.69,70.4,66.2
2020-04-23,26.2,4.1,0,0,69.35,0.31,68.8,78.7
2020-04-24,24.5,2.4,0,0,67.78,0.54,69.7,69.2
2020-04-25,26.1,4.1,0,1,73.81,0.57,69.0,75.0
2020-04-26,23.8,13.1,0,0,55.73,0.49,70.3,76.1
2020-04-27,25.3,0.3,0,0,73.85,0.39,67.8,70.2
2020-04-28,25.5,2.2,0,0,59.79,0.36,74.2,71.1
2020-04-29,26.0,2.4,1,0,50.0,0.01,68.3,75.9
2020-04-30,20.7,0.4,0,0,61.02,-0.09,70.4,76.6
2020-05-01,25.2,5.6,1,1,50.0,0.08,71.4,80.5
2020-05-02,24.0,1.7,0,0,65.11,-0.07,73.8,72.9
2020-05-03,25.6,0.2,0,0,70.52,-0.07,73.7,73.7
2020-05-04,25.8,6.7,0,0,103.84,0.04,67.5,74.1
2020-05-05,27.5,1.2,0,0,50.0,-0.25,75.5,74.9
2020-05-06,26.7,0.1,0,0,59.36,-0.36,72.9,75.9
2020-05-07,26.8,0.7,0,0,50.5,0.09,71.8,72.4
2020-05-08,26.4,1.2,0,0,50.0,-0.06,73.6,79.5
2020-05-09,28.7,2.7,1,0,69.47,0.72,70.5,79.7
2020-05-10,25.2,0.6,1,0,69.7,0.36,74.2,70.7
2020-05-11,26.7,0.0,0,0,55.33,0.16,73.0,84.2
2020-05-12,24.8,4.6,0,0,56.5,0.18,73.0,86.7
2020-05-13,28.8,0.8,1,0,50.0,-0.12,68.1,70.4
2020-05-14,25.0,1.4,0,0,50.0,-0.06,69.5,76.4
2020-05-15,28.5,0.2,0,0,68.35,0.44,74.6,79.5
2020-05-16,23.1,0.1,0,0,70.46,0.07,72.8,78.7
2020-05-17,28.3,0.0,0,0,78.43,0.34,74.1,75.8
2020-05-18,24.5,8.7,0,0,50.0,0.03,71.0,70.4
2020-05-19,27.3,8.6,0,0,50.0,-0.27,72.9,78.1
2020-05-20,28.1,1.5,0,0,69.25,0.16,71.2,77.4
2020-05-21,26.9,1.0,0,0,73.12,-0.11,67.2,85.0
2020-05-22,25.6,0.3,0,0,53.63,0.11,72.2,69.5
2020-05-23,24.2,0.8,0,0,74.44,0.55,72.8,70.9
2020-05-24,26.1,1.9,0,0,72.68,0.43,70.6,77.3
2020-05-25,26.1,0.0,0,0,65.21,0.51,74.6,79.4
2020-05-26,28.9,0.0,1,0,57.82,0.29,71.0,81.1
2020-05-27,26.6,0.0,1,0,75.85,0.44,73.9,82.5
2020-05-28,26.9,1.2,0,0,52.21,0.05,70.7,76.2
2020-05-29,26.2,2.3,0,0,124.76,-0.15,71.3,84.9
2020-05-30,26.4,0.2,0,0,82.39,-0.01,72.0,74.7
2020-05-31,27.9,0.2,0,0,60.08,-0.22,71.2,81.7
2020-06-01,29.2,0.6,0,0,61.48,0.33,73.1,78.1
2020-06-02,27.0,1.4,0,0,70.89,0.22,75.2,78.1
2020-06-03,26.0,0.2,0,0,53.55,0.67,77.3,79.2
2020-06-04,25.9,0.2,0,0,50.0,0.24,75.3,78.3
2020-06-05,26.3,1.2,0,0,51.62,0.27,73.6,72.5
2020-06-06,28.9,0.7,0,0,78.86,0.15,74.7,73.4
2020-06-07,29.5,2.0,0,0,77.03,0.01,73.9,81.4
2020-06-08,25.2,0.6,1,0,74.9,-0.12,73.3,76.1
2020-06-09,27.0,0.8,0,0,54.72,-0.27,73.3,81.7
2020-06-10,25.8,0.4,0,1,50.0,-0.14,72.2,80.0
2020-06-11,27.1,3.5,0,0,53.39,0.17,69.5,75.4
2020-06-12,27.6,0.3,1,0,67.31,0.05,75.7,91.9
2020-06-13,29.8,2.8,0,0,91.34,-0.17,74.7,81.2
2020-06-14,29.5,1.5,0,0,104.84,0.67,73.6,78.6
2020-06-15,26.8,0.6,0,0,58.29,0.4,76.2,75.3
2020-06-16,28.1,2.8,0,0,70.64,-0.15,72.3,91.6
2020-06-17,25.8,2.4,0,0,58.15,-0.13,71.9,82.4
2020-06-18,29.2,5.5,0,0,51.79,0.17,77.0,87.0
2020-06-19,28.4,0.1,0,0,66.86,0.44,70.2,88.8
2020-06-20,28.1,0.3,0,0,68.44,-0.13,71.1,76.8
2020-06-21,28.2,0.0,0,0,77.17,-0.26,72.1,81.2
2020-06-22,28.4,0.0,0,0,67.44,0.09,70.2,91.2
2020-06-23,27.8,0.4,0,0,73.51,0.39,71.2,82.2
2020-06-24,28.6,1.3,0,0,67.34,0.12,77.7,82.3
2020-06-25,29.4,0.1,0,0,58.99,0.18,73.7,87.7
2020-06-26,28.6,0.9,0,0,64.43,0.95,73.7,78.3
2020-06-27,27.7,2.1,1,0,50.01,-0.39,69.5,90.5
2020-06-28,27.5,0.3,0,0,62.24,0.07,76.9,73.9
2020-06-29,28.9,0.1,0,0,66.76,0.23,74.3,81.4
2020-06-30,27.1,0.4,0,0,73.03,-0.19,72.1,84.3
2020-07-01,27.7,0.0,0,0,61.84,-0.16,74.8,82.5
2020-07-02,28.5,0.7,1,0,76.34,0.13,75.3,80.3
2020-07-03,28.5,1.6,0,0,80.54,-0.15,74.9,82.5
2020-07-04,31.3,0.9,0,0,61.97,0.63,76.5,81.6
2020-07-05,26.6,1.4,0,0,71.8,0.18,74.3,85.6
2020-07-06,25.0,2.9,0,0,89.65,-0.25,75.7,83.6
2020-07-07,27.4,2.4,0,0,66.24,0.02,76.7,80.9
2020-07-08,28.7,0.2,0,0,55.55,0.12,77.3,79.3
2020-07-09,29.5,1.0,0,0,56.08,0.7,75.9,77.2
2020-07-10,28.8,0.4,0,0,56.81,0.59,75.0,96.8
2020-07-11,26.3,0.4,1,0,77.18,0.65,70.5,87.2
2020-07-12,28.6,0.4,0,0,65.0,0.14,74.2,83.6
2020-07-13,26.8,1.2,0,0,54.57,-0.22,72.6,85.7
2020-07-14,28.2,1.8,0,0,76.1,0.25,74.8,81.0
2020-07-15,27.7,0.8,0,0,72.0,0.11,75.6,83.4
2020-07-16,24.3,0.1,0,0,91.71,0.1,77.2,86.6
2020-07-17,25.2,1.1,0,0,77.41,0.68,74.7,78.3
2020-07-18,26.6,1.0,0,0,61.5,0.28,76.5,85.0
2020-07-19,27.3,0.8,0,0,65.01,0.17,74.8,80.6
2020-07-20,26.0,3.2,1,0,66.62,0.42,78.9,89.1
2020-07-21,26.4,5.6,0,0,69.61,0.85,77.8,85.1
2020-07-22,27.2,0.0,0,0,63.15,-0.18,74.4,73.8
2020-07-23,27.0,0.0,0,0,63.82,0.6,71.9,80.6
2020-07-24,28.4,0.7,0,0,64.21,-0.05,75.6,80.0
2020-07-25,25.5,1.0,0,0,70.19,0.22,71.8,75.5
2020-07-26,25.8,0.2,0,0,56.64,0.24,76.6,73.4
2020-07-27,25.5,0.9,0,0,72.48,0.48,77.3,76.4
2020-07-28,26.7,2.7,0,0,79.79,-0.27,74.9,81.7
2020-07-29,24.6,10.7,0,0,55.1,0.04,75.1,68.3
2020-07-30,23.4,0.2,0,0,81.7,0.14,73.6,78.0
2020-07-31,25.4,0.3,0,0,67.68,0.3,74.9,78.9
2020-08-01,24.3,0.8,0,0,79.15,-0.04,75.0,78.0
2020-08-02,26.5,3.5,0,0,78.25,0.09,76.8,82.7
2020-08-03,27.1,9.6,0,0,80.21,0.01,78.9,74.7
2020-08-04,22.9,2.6,0,0,93.28,0.19,78.5,80.6
2020-08-05,26.0,2.8,1,0,76.25,0.31,80.1,78.7
2020-08-06,25.8,2.4,0,0,79.61,-0.13,73.7,73.6
2020-08-07,27.5,3.5,1,0,86.87,0.22,76.8,78.2
2020-08-08,26.6,0.7,0,0,76.16,-0.2,77.2,72.3
2020-08-09,22.6,1.7,0,0,62.58,0.54,76.1,82.2
2020-08-10,26.8,1.2,0,0,70.71,0.31,76.5,79.2
2020-08-11,27.3,1.7,0,0,73.18,0.74,77.1,79.8
2020-08-12,23.9,1.1,0,0,83.92,0.62,74.2,76.9
2020-08-13,27.6,8.6,0,0,62.25,-0.01,71.8,80.8
2020-08-14,23.1,2.5,0,0,71.25,-0.03,76.4,80.1
2020-08-15,24.5,5.7,0,1,83.28,0.1,73.9,83.7
2020-08-16,23.1,0.5,0,0,69.21,0.35,72.5,71.3
2020-08-17,27.0,1.0,0,0,64.32,0.34,76.8,78.6
2020-08-18,25.9,1.9,0,0,72.35,-0.23,73.9,75.9
2020-08-19,25.5,1.5,0,0,58.79,0.72,69.8,78.9
2020-08-20,23.9,0.5,0,0,100.44,0.58,74.8,73.9
2020-08-21,23.9,1.0,1,0,61.48,0.3,73.6,69.1
2020-08-22,25.0,3.3,0,0,58.44,0.46,76.6,77.1
2020-08-23,23.6,0.8,0,0,70.62,-0.08,76.2,67.6
2020-08-24,24.2,5.3,0,0,65.36,0.3,74.4,76.7
2020-08-25,24.5,0.6,0,0,58.63,0.38,74.9,77.4
2020-08-26,23.0,3.2,0,0,60.29,0.06,74.4,78.9
2020-08-27,23.8,4.2,0,0,84.35,-0.23,76.6,71.5
2020-08-28,23.0,3.3,0,0,68.2,0.13,76.1,75.0
2020-08-29,21.0,1.2,0,0,76.82,0.48,77.7,66.9
2020-08-30,25.7,1.1,1,0,57.58,-0.14,73.6,70.6
2020-08-31,22.6,0.1,0,0,81.22,-0.24,74.2,71.4
2020-09-01,22.4,7.8,0,0,72.84,0.01,74.7,68.7
2020-09-02,21.7,4.0,0,0,65.32,0.42,77.7,72.2
2020-09-03,21.0,0.0,0,0,94.39,-0.34,74.2,68.7
2020-09-04,21.1,5.2,0,0,62.01,-0.22,78.2,69.0
2020-09-05,24.0,0.6,0,0,81.02,0.83,77.5,63.8
2020-09-06,23.0,4.3,1,0,73.24,0.44,76.4,67.4
2020-09-07,21.9,3.5,0,0,82.68,0.15,72.8,73.4
2020-09-08,23.3,5.2,0,0,90.26,0.41,76.6,70.8
2020-09-09,21.6,2.0,1,0,73.14,0.46,76.7,67.2
2020-09-10,21.2,0.2,0,0,58.21,0.16,72.7,75.4
2020-09-11,21.9,0.6,0,0,96.64,0.45,77.4,69.2
2020-09-12,22.1,0.8,0,0,91.49,0.01,74.6,64.0
2020-09-13,19.8,3.5,0,0,50.0,1.05,73.9,70.5
2020-09-14,19.6,1.3,0,0,73.72,0.07,73.1,63.7
2020-09-15,21.6,1.8,0,0,81.54,0.32,75.1,65.6
2020-09-16,23.1,3.8,0,0,65.01,0.28,73.7,73.0
2020-09-17,20.5,2.0,1,0,59.77,0.56,77.5,66.5
2020-09-18,18.4,1.1,0,0,67.95,0.58,71.3,71.0
2020-09-19,21.2,1.3,0,0,74.41,0.06,73.6,70.5
2020-09-20,19.7,8.8,0,0,66.62,0.21,69.6,64.1
2020-09-21,19.6,16.5,0,0,69.41,-0.43,72.4,59.1
2020-09-22,16.8,3.9,0,0,55.15,0.26,77.0,66.5
2020-09-23,22.4,7.1,0,0,64.63,0.15,74.6,71.7
2020-09-24,20.0,3.8,0,0,77.35,0.56,76.1,63.9
2020-09-25,17.3,5.0,0,0,70.09,0.2,77.3,68.1
2020-09-26,15.8,4.6,1,0,70.88,0.05,80.9,60.8
2020-09-27,20.9,0.4,0,0,60.16,0.02,75.6,61.8
2020-09-28,17.5,23.2,0,0,76.22,0.08,76.6,64.6
2020-09-29,16.8,0.2,1,0,73.74,0.38,75.9,64.7
2020-09-30,16.2,2.2,0,0,70.01,0.17,74.8,64.2
2020-10-01,17.0,9.9,0,0,149.89,-0.0,75.3,60.3
2020-10-02,18.5,1.8,0,0,134.95,0.68,72.6,55.6
2020-10-03,18.9,4.8,1,0,148.72,-0.0,75.9,61.0
2020-10-04,18.7,4.0,0,0,201.11,0.07,74.2,59.7
2020-10-05,18.4,7.8,0,1,147.53,-0.19,69.7,59.3
2020-10-06,17.1,3.5,0,0,113.0,1.03,72.0,62.5
2020-10-07,18.0,2.2,0,0,116.06,-0.5,78.8,66.0
2020-10-08,16.8,4.0,0,0,126.24,-0.14,71.8,60.0
2020-10-09,19.7,1.2,1,0,138.07,0.4,69.3,66.9
2020-10-10,16.3,0.9,0,0,128.52,0.07,75.5,68.9
2020-10-11,17.9,3.6,0,0,140.16,0.05,77.9,57.1
2020-10-12,14.9,4.6,0,0,158.56,0.58,74.8,52.2
2020-10-13,18.1,10.4,1,0,140.41,0.14,73.0,50.6
2020-10-14,16.8,6.6,0,0,130.47,0.23,72.7,58.8
2020-10-15,17.1,7.8,0,0,132.71,0.47,71.3,59.5
2020-10-16,17.3,8.3,0,0,135.63,0.3,75.5,65.2
2020-10-17,16.7,2.4,0,0,124.69,0.3,75.2,57.8
2020-10-18,16.8,6.0,0,0,100.56,0.21,75.2,54.0
2020-10-19,16.9,9.4,1,0,131.14,0.22,73.8,55.7
2020-10-20,14.9,3.9,0,0,153.84,0.43,71.9,45.2
2020-10-21,16.4,0.2,0,0,144.54,0.26,74.5,55.6
2020-10-22,15.9,14.2,0,0,125.88,-0.29,73.2,60.9
2020-10-23,13.8,9.3,0,0,151.53,0.18,76.4,60.2
2020-10-24,18.0,5.1,0,0,134.8,0.42,75.2,57.4
2020-10-25,15.4,8.8,0,0,118.26,-0.36,74.1,62.1
2020-10-26,15.7,12.0,0,0,136.16,0.44,73.0,53.6
2020-10-27,14.7,8.4,0,0,137.09,0.7,77.1,59.7
2020-10-28,15.3,5.5,0,0,144.9,0.34,75.1,52.8
2020-10-29,15.6,1.0,0,0,110.94,-0.1,72.2,59.0
2020-10-30,15.3,2.4,0,0,138.24,-0.01,74.2,52.5
2020-10-31,15.9,14.8,0,0,146.62,0.7,74.2,51.2
2020-11-01,11.8,8.4,0,1,119.92,0.01,70.5,45.9
2020-11-02,17.4,2.7,0,0,131.99,-0.09,70.7,56.8
2020-11-03,16.1,2.1,0,0,159.38,0.75,69.0,47.5
2020-11-04,14.4,27.1,0,0,125.8,-0.5,77.2,38.7
2020-11-05,13.9,2.4,0,0,145.45,0.37,72.5,51.1
2020-11-06,13.0,0.3,0,0,148.52,0.17,73.5,54.1
2020-11-07,11.8,11.0,0,0,132.26,-0.09,67.5,42.6
2020-11-08,14.9,1.9,0,0,126.4,0.43,72.7,52.5
2020-11-09,16.2,22.8,1,0,124.86,0.4,68.8,61.2
2020-11-10,12.9,1.4,0,0,116.29,0.2,70.9,50.8
2020-11-11,14.3,7.9,0,0,147.18,-0.04,71.6,47.0
2020-11-12,9.2,10.6,0,0,120.15,-0.01,70.1,47.3
2020-11-13,12.3,19.2,0,0,111.96,0.07,69.5,50.9
2020-11-14,13.3,3.9,0,0,156.67,0.44,71.0,50.8
2020-11-15,11.9,2.7,0,0,147.45,0.32,69.3,54.2
2020-11-16,14.6,7.8,0,0,179.48,0.26,72.8,47.4
2020-11-17,13.2,1.6,0,0,105.0,-0.31,73.6,38.0
2020-11-18,11.0,1.9,0,0,112.89,0.21,72.7,43.9
2020-11-19,15.2,26.3,0,0,166.49,-0.11,70.0,44.3
2020-11-20,10.4,14.2,0,0,116.56,-0.01,71.5,48.8
2020-11-21,15.0,16.4,0,0,128.78,-0.27,67.4,46.5
2020-11-22,14.4,0.8,0,0,137.79,0.16,72.9,46.3
2020-11-23,14.0,31.8,0,0,120.37,0.32,71.2,44.8
2020-11-24,15.1,1.6,0,0,139.44,0.19,72.7,46.2
2020-11-25,10.9,8.9,0,0,168.85,0.38,70.7,49.5
2020-11-26,12.3,18.4,0,0,124.16,0.21,71.9,38.1
2020-11-27,13.7,13.7,0,0,149.21,-0.04,71.9,44.3
2020-11-28,13.1,1.8,0,0,152.7,0.19,72.9,36.1
2020-11-29,15.0,21.0,0,0,134.65,0.21,74.0,44.9
2020-11-30,13.5,5.7,1,0,146.31,0.12,74.7,47.0
2020-12-01,11.3,3.9,0,1,136.43,0.23,70.1,46.8
2020-12-02,10.8,3.1,1,0,112.46,0.07,68.6,41.6
2020-12-03,13.5,3.1,0,0,111.53,-0.28,70.8,44.7
2020-12-04,11.1,1.8,0,0,127.25,-0.13,67.8,52.6
2020-12-05,12.2,3.2,0,0,106.03,-0.18,69.7,47.5
2020-12-06,10.6,8.9,0,0,120.11,-0.04,71.3,46.3
2020-12-07,13.3,7.8,0,0,108.74,0.05,71.6,50.5
2020-12-08,13.0,3.6,0,1,159.25,0.24,70.7,46.5
2020-12-09,9.7,9.8,1,0,154.67,-0.12,70.4,36.5
2020-12-10,11.2,2.6,0,0,142.0,0.36,71.1,48.8
2020-12-11,11.6,5.8,0,0,120.9,0.35,69.3,45.7
2020-12-12,11.7,5.8,0,0,133.25,0.13,71.5,50.8
2020-12-13,11.7,31.1,0,0,136.12,0.53,67.5,34.5
2020-12-14,11.8,2.2,0,0,122.61,0.61,71.0,45.9
2020-12-15,10.6,17.1,0,0,115.68,0.19,70.8,44.6
2020-12-16,12.7,5.1,0,0,129.05,0.48,71.9,50.8
2020-12-17,10.8,1.4,0,0,122.8,0.67,69.9,47.8
2020-12-18,8.8,7.1,0,0,125.63,0.03,71.1,46.2
2020-12-19,11.1,10.3,0,0,126.8,0.28,71.0,38.1
2020-12-20,12.1,15.9,0,0,141.75,0.72,69.8,39.8
2020-12-21,13.1,13.9,0,0,140.84,0.59,71.1,41.4
2020-12-22,10.1,2.9,0,0,109.73,0.63,67.3,40.4
2020-12-23,12.4,3.9,0,0,146.18,0.0,67.5,47.5
2020-12-24,11.5,6.7,0,0,107.06,0.53,68.1,43.3
2020-12-25,14.3,1.0,1,1,131.45,0.43,68.7,34.0
2020-12-26,11.9,0.3,0,0,108.17,-0.08,68.6,44.5
2020-12-27,12.4,1.2,0,0,179.83,0.94,72.1,39.6
2020-12-28,14.8,8.8,0,0,109.47,-0.5,70.3,46.1
2020-12-29,10.7,4.2,1,0,99.35,-0.02,67.6,44.9
2020-12-30,7.5,1.3,0,0,110.08,-0.5,71.8,43.2
2020-12-31,8.6,14.2,0,0,120.77,0.69,69.6,43.2
2021-01-01,9.4,0.1,0,1,154.86,0.84,88.9,52.6
2021-01-02,11.1,11.7,0,0,154.15,1.76,81.3,42.4
2021-01-03,10.1,22.7,0,0,157.36,1.54,85.3,53.2
2021-01-04,13.8,5.4,0,0,122.23,2.11,87.9,42.7
2021-01-05,12.3,2.9,0,0,105.59,1.36,86.1,40.5
2021-01-06,12.5,10.0,0,0,136.54,1.86,85.5,44.2
2021-01-07,12.5,1.2,0,0,115.45,1.31,85.0,54.9
2021-01-08,10.0,10.5,0,0,139.84,1.38,84.9,37.7
2021-01-09,16.8,0.3,0,0,141.63,2.27,83.9,52.2
2021-01-10,14.4,6.0,0,0,111.01,1.24,84.6,42.2
2021-01-11,14.4,3.1,0,0,100.72,1.85,85.2,44.3
2021-01-12,12.5,12.2,0,0,142.09,1.89,86.4,51.4
2021-01-13,11.2,9.6,0,0,125.71,1.64,84.4,41.9
2021-01-14,11.1,0.6,0,0,104.06,1.57,82.9,52.9
2021-01-15,15.3,2.1,0,0,157.32,1.56,82.2,49.7
2021-01-16,14.5,16.8,0,0,129.11,1.66,84.8,48.5
2021-01-17,13.2,11.5,0,0,112.78,1.33,82.1,51.4
2021-01-18,11.8,7.1,0,0,126.41,1.37,84.2,41.7
2021-01-19,13.5,0.7,0,0,142.94,1.64,85.7,48.3
2021-01-20,13.9,8.3,0,0,112.27,1.39,81.3,45.4
2021-01-21,12.0,14.2,0,0,217.6,1.53,85.2,48.1
2021-01-22,12.4,1.1,0,0,130.25,1.61,85.3,51.6
2021-01-23,12.5,15.5,0,0,134.27,1.44,84.8,53.7
2021-01-24,12.6,1.3,0,0,111.18,1.5,84.3,45.6
2021-01-25,11.3,0.7,0,0,103.9,1.17,86.4,44.9
2021-01-26,11.6,9.6,0,0,140.12,1.51,86.1,52.0
2021-01-27,16.4,0.1,0,0,116.41,1.44,86.3,44.6
2021-01-28,15.4,39.4,0,0,119.43,1.53,86.1,58.5
2021-01-29,14.0,2.9,1,0,108.44,1.0,83.5,52.0
2021-01-30,13.4,18.7,0,0,131.48,1.43,86.7,54.0
2021-01-31,13.0,12.3,0,0,120.72,2.1,84.1,46.8
2021-02-01,12.0,11.7,0,0,101.33,1.44,80.6,47.0
2021-02-02,14.7,25.6,1,0,104.96,1.44,80.6,45.1
2021-02-03,12.8,9.9,0,0,121.71,1.24,83.1,46.1
2021-02-04,15.6,11.5,1,0,121.02,1.88,80.1,44.1
2021-02-05,11.7,18.2,0,0,98.19,1.55,84.5,48.4
2021-02-06,14.5,16.0,0,0,121.52,1.44,84.2,53.6
2021-02-07,14.2,9.7,0,0,129.72,1.5,83.8,52.4
2021-02-08,13.4,2.7,0,0,129.03,0.96,84.3,49.8
2021-02-09,15.2,4.5,1,0,86.26,1.47,86.2,40.8
2021-02-10,15.3,12.5,0,0,119.97,1.81,79.1,44.2
2021-02-11,19.3,9.7,1,0,125.12,1.92,85.8,55.5
2021-02-12,14.7,11.3,0,0,115.76,0.99,81.1,47.4
2021-02-13,17.5,4.6,0,0,131.57,1.82,80.8,55.2
2021-02-14,14.8,14.8,0,0,114.77,1.72,82.5,52.5
2021-02-15,15.3,1.6,0,0,107.56,1.04,81.7,53.4
2021-02-16,15.9,14.4,0,0,119.23,1.68,80.6,46.1
2021-02-17,16.1,25.1,0,0,146.35,1.5,86.8,43.2
2021-02-18,14.9,8.4,0,0,125.69,1.4,83.5,58.5
2021-02-19,16.0,3.6,0,0,390.73,1.53,84.3,61.2
2021-02-20,15.9,8.7,0,0,96.09,1.92,81.5,50.6
2021-02-21,20.2,29.9,0,0,147.1,1.79,85.6,53.9
2021-02-22,16.1,14.6,0,0,117.51,1.27,88.0,55.5
2021-02-23,15.5,2.1,0,0,156.26,1.61,82.3,52.1
2021-02-24,17.1,2.5,1,0,115.44,1.03,85.7,58.3
2021-02-25,19.9,1.8,0,0,123.96,1.69,84.5,52.1
2021-02-26,16.4,0.8,0,0,155.57,1.38,83.1,56.8
2021-02-27,17.4,3.5,0,0,106.37,0.46,87.4,54.5
2021-02-28,15.2,13.4,1,0,176.51,1.26,84.5,56.4
2021-03-01,18.7,9.2,0,0,92.94,1.83,82.4,60.8
2021-03-02,18.7,7.5,0,0,134.23,1.79,82.7,56.5
